race_id,rank,frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,goal_time,goal_time_dif,time_value,half_way_rank,last_time,odds,popular,horse_weight,tame_time,tamer_id,owner_id
202101020701,1,8,8,2019105130,牝2,54,01093,1:10.0,,84,3-3,35.0,4.3,3,430(0),"

",01158,297002
202101020701,2,6,6,2019101915,牡2,54,05339,1:10.2,1.1/4,81,2-2,35.4,2.3,1,498(0),"

",01023,003060
202101020701,3,2,2,2019104841,牝2,51,01189,1:10.4,3/4,79,3-4,35.3,19.2,5,438(+6),"

",00425,758005
202101020701,4,3,3,2019100340,牡2,54,01140,1:10.6,1.1/4,76,1-1,35.9,3.4,2,480(+8),"

",01132,752800
202101020701,5,7,7,2019104263,牡2,52,01181,1:10.7,3/4,74,8-8,35.0,30.6,6,416(0),"

",00421,730033
202101020701,6,4,4,2019106831,牡2,53,01176,1:10.7,ハナ,74,5-4,35.4,149.9,9,454(0),"

",01135,065803
202101020701,7,5,5,2019104549,牝2,51,01185,1:10.9,1.1/2,71,9-9,35.0,7.6,4,478(+6),"

",01159,075006
202101020701,8,8,9,2019102037,牝2,54,01018,1:10.9,クビ,71,6-6,35.4,140.6,8,438(-2),"

",01134,271008
202101020701,9,1,1,2019102323,牡2,53,01182,1:11.9,6,57,6-6,36.5,136.9,7,482(-2),"

",01138,304008
202101020702,1,6,7,2019100800,牡2,54,01091,1:46.7,,86,5-3-4-2,38.4,3.4,2,448(+6),"

",01162,716800
202101020702,2,1,1,2019104116,牡2,53,01176,1:46.8,1/2,85,1-1-1-1,38.7,7.2,4,500(-2),"

",01018,966007
202101020702,3,7,9,2019104546,牡2,54,01025,1:48.3,9,71,9-8-2-2,40.1,144.7,11,498(-6),"

",01167,253030
202101020702,4,5,5,2019105174,牝2,54,01140,1:48.5,1,69,11-10-10-4,39.6,15.0,6,460(-4),"

",01092,542800
202101020702,5,7,10,2019105736,牡2,54,01009,1:48.6,3/4,68,7-7-7-8,39.9,6.0,3,478(+10),"

",01132,716800
202101020702,6,4,4,2019103131,牡2,51,01185,1:48.7,1/2,67,5-5-7-4,40.0,86.8,9,480(+2),"

",01173,159033
202101020702,7,5,6,2019103923,牡2,51,01177,1:49.1,2.1/2,63,9-10-11-10,39.9,21.5,7,440(-4),"

",01125,014803
202101020702,8,2,2,2019102628,牡2,54,00666,1:49.2,クビ,62,8-8-7-6,40.5,3.0,1,480(+4),"

",01005,897009
