race_id,race_round,race_title,race_course,weather,ground_status,time,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3
202101020701,1 R,2歳未勝利,芝右1200m,天候 : 晴,芝 : 良,発走 : 09:50,2021年9月4日,2回札幌7日目,9,8,8,6,6,2,2,430,140,110,340,470,530,250,510,700,"1,250","1,880","7,560"
202101020702,2 R,2歳未勝利,ダ右1700m,天候 : 晴,ダート : 良,発走 : 10:25,2021年9月4日,2回札幌7日目,12,6,7,1,1,7,9,340,140,180,"1,700",720,960,360,"5,240","7,350","1,500","28,170","80,320"
202101020703,3 R,3歳未勝利,芝右2000m,天候 : 晴,芝 : 良,発走 : 10:55,2021年9月4日,2回札幌7日目,16,5,9,2,3,4,7,"1,050",370,480,"1,610","1,750","9,310","1,960","7,900","10,330","13,220","157,090","719,460"
202101020704,4 R,3歳未勝利,ダ右1700m,天候 : 晴,ダート : 良,発走 : 11:25,2021年9月4日,2回札幌7日目,14,1,1,6,10,4,6,780,220,170,560,"1,170","1,290",490,"3,460","2,150","2,810","11,680","57,960"
202101020705,5 R,2歳新馬,芝右1500m,天候 : 晴,芝 : 良,発走 : 12:15,2021年9月4日,2回札幌7日目,12,8,11,5,5,5,6,270,120,110,170,270,540,230,410,310,860,"1,010","3,260"
202101020706,6 R,3歳以上1勝クラス,ダ右1700m,天候 : 晴,ダート : 良,発走 : 12:45,2021年9月4日,2回札幌7日目,14,6,10,2,2,6,9,380,150,"1,530",210,"6,780","15,160","4,810",530,"6,350","23,800","24,450","145,040"
202101020707,7 R,3歳以上1勝クラス,ダ右1000m,天候 : 晴,ダート : 良,発走 : 13:15,2021年9月4日,2回札幌7日目,12,5,6,3,3,8,11,740,200,790,320,"8,000","9,640","2,000",830,"3,420","15,370","19,490","116,090"
202101020708,8 R,3歳以上1勝クラス,芝右2000m,天候 : 晴,芝 : 良,発走 : 13:45,2021年9月4日,2回札幌7日目,16,5,9,2,3,8,15,"3,400",590,210,240,590,"9,850","3,380","3,410","1,050","33,380","27,470","245,620"
202101020709,9 R,3歳以上1勝クラス,ダ右1700m,天候 : 晴,ダート : 良,発走 : 14:15,2021年9月4日,2回札幌7日目,14,2,2,7,12,6,9,530,180,300,130,"2,320","8,700","2,280",370,520,"11,390","4,410","39,720"
202101020710,10 R,札幌スポニチ賞 ,芝右1200m,天候 : 晴,芝 : 良,"発走 : 14:50

過去の札幌スポニチ賞",2021年9月4日,2回札幌7日目,16,3,6,8,15,1,2,500,140,160,130,710,930,370,260,430,"2,110","1,220","7,570"
202101020711,11 R,第56回札幌2歳ステークス(G3),芝右1800m,天候 : 晴,芝 : 良,"発走 : 15:25

過去の札幌2歳ステークス",2021年9月4日,2回札幌7日目,10,8,9,7,7,8,10,210,120,220,280,720,960,350,500,"1,150","1,470","2,770","11,510"
202101020712,12 R,日高ステークス ,芝右1500m,天候 : 晴,芝 : 良,"発走 : 16:05

過去の日高ステークス",2021年9月4日,2回札幌7日目,14,4,5,2,2,6,10,540,180,120,410,340,510,280,"1,760",840,"1,370","3,430","15,140"
202101020801,1 R,2歳未勝利,芝右2000m,天候 : 晴,芝 : 稍重,発走 : 09:50,2021年9月5日,2回札幌8日目,11,2,2,7,8,5,5,170,110,110,110,300,270,130,150,210,400,300,910
202101020802,2 R,2歳未勝利,芝右1500m,天候 : 晴,芝 : 稍重,発走 : 10:25,2021年9月5日,2回札幌8日目,13,5,6,2,2,8,12,"1,140",220,130,250,"1,550","1,400",490,"1,180",630,"4,480","3,780","32,060"
202101020803,3 R,3歳未勝利,ダ右1700m,天候 : 晴,ダート : 稍重,発走 : 10:55,2021年9月5日,2回札幌8日目,14,4,6,5,8,4,5,"1,150",280,150,160,550,"2,600",820,"1,150",260,"5,350","3,280","21,380"
202101020804,4 R,3歳未勝利,芝右1200m,天候 : 晴,芝 : 稍重,発走 : 11:25,2021年9月5日,2回札幌8日目,16,5,9,4,8,7,13,320,190,680,670,"3,620","4,250","1,410","2,420","5,020","7,240","32,240","120,660"
202101020805,5 R,3歳未勝利,ダ右1700m,天候 : 晴,ダート : 稍重,発走 : 12:15,2021年9月5日,2回札幌8日目,14,8,14,1,1,4,6,"1,280",330,250,570,670,"3,990","1,530","3,650","2,550","8,160","27,930","148,090"
